transfer_id,utc,source_log,map_level,server_host_id,server_udp_port,compressed_bytes,uncompressed_bytes,chunk_count,received_bytes,completed_utc,duration_seconds,capture_id
TYE-CM-001,2026-08-30T01:50:04.756000Z,PortalWars2-backup-2026.08.30-02.05.20.log,/MAP_Creative_WetOcean/WetOcean_Main,WIN-SERVER-10,32005,295084,4863514,10,295084,2026-08-30T01:50:11.412000Z,6.656,
TYE-CM-002,2026-08-30T07:44:46.639000Z,PortalWars2-backup-2026.08.30-08.22.33.log,/MAP_Creative_WetOcean/WetOcean_Main,WIN-SERVER-17,32046,322454,4298790,10,322454,2026-08-30T07:44:53.937000Z,7.298,
TYE-CM-003,2026-09-01T08:37:34.939000Z,PortalWars2-backup-2026.09.01-10.22.32.log,/MAP_Creative_WetOcean/WetOcean_Main,WIN-SERVER-20,31107,322454,4298790,10,322454,2026-09-01T08:37:41.616000Z,6.677,
TYE-CM-004,2026-09-01T08:48:02.429000Z,PortalWars2-backup-2026.09.01-10.22.32.log,/MAP_Creative_WetOcean/WetOcean_Main,WIN-SERVER-14,31773,295084,4863514,10,295084,2026-09-01T08:48:08.620000Z,6.191,
TYE-CM-005,2026-09-02T04:56:55.038000Z,PortalWars2-backup-2026.09.02-08.31.13.log,/MAP_Creative_EmptySpace/EmptySpace_Main,WIN-SERVER-05,31780,330169,5036717,11,330169,2026-09-02T04:57:02.484000Z,7.446,TYE-CAP-05
TYE-CM-006,2026-09-02T05:53:43.367000Z,PortalWars2-backup-2026.09.02-08.31.13.log,/MAP_Creative_WetOcean/WetOcean_Main,WIN-SERVER-01,32534,322454,4298790,10,322454,2026-09-02T05:53:50.530000Z,7.163,TYE-CAP-05
TYE-CM-007,2026-09-02T07:18:56.653000Z,PortalWars2-backup-2026.09.02-08.31.13.log,/MAP_Creative_WetOcean/WetOcean_Main,WIN-SERVER-01,32234,301203,4010411,10,301203,2026-09-02T07:19:03.379000Z,6.726,
