category,dataset,version,content_id,local_path,size_bytes,saved_timestamp,expiration_seconds,source_url
Localization,playlist-groups,0.0.58,2C0AB1B00B80223B62193495E6C0C1B1906EA08F51A45A2D5274F7A15B10E5B5,PortalWars2/Saved/PersistentDownloadDir/Localization/playlist-groups-2C0AB1B00B80223B62193495E6C0C1B1906EA08F51A45A2D5274F7A15B10E5B5,2495,16779591.0954436,86400,
Localization,playlist-menus,0.0.91,E6F23493FBA34CFDC72B2DFEA088C2CD2982E3785404C82EA444588F7B7FE5F9,PortalWars2/Saved/PersistentDownloadDir/Localization/playlist-menus-E6F23493FBA34CFDC72B2DFEA088C2CD2982E3785404C82EA444588F7B7FE5F9,960,16779591.1030392,86400,
Localization,ranks,0.4.30,9D7001712467680D2A581FBF4019F92D87D92145DF8F33CC8A63961B9D65A048,PortalWars2/Saved/PersistentDownloadDir/Localization/ranks-9D7001712467680D2A581FBF4019F92D87D92145DF8F33CC8A63961B9D65A048,2516,16779591.1094972,86400,
Localization,xp-multipliers,0.0.43,1F9CE3C50988BA3A49D8197415075238EDFA518708A2821F5447F4E3FB001606,PortalWars2/Saved/PersistentDownloadDir/Localization/xp-multipliers-1F9CE3C50988BA3A49D8197415075238EDFA518708A2821F5447F4E3FB001606,1641,16779591.1198465,86400,
Localization,store-sections,0.0.382,85C722FB21C3797E83F913A1A2B478EAD36C41FF354E512E890AC2066F222CB0,PortalWars2/Saved/PersistentDownloadDir/Localization/store-sections-85C722FB21C3797E83F913A1A2B478EAD36C41FF354E512E890AC2066F222CB0,3505,16779591.1268314,86400,
Localization,team-clash,0.0.37,CFAE2E3612EF6526C82637E6432BB0E86CAC2ED558A966B32148C9ACA38C33DD,PortalWars2/Saved/PersistentDownloadDir/Localization/team-clash-CFAE2E3612EF6526C82637E6432BB0E86CAC2ED558A966B32148C9ACA38C33DD,5249,16779591.1351508,86400,
Localization,points-events,0.0.118,E547EE502198CD55700CD68A54330EC996C4660431E374FFE7EBBDC4949C979E,PortalWars2/Saved/PersistentDownloadDir/Localization/points-events-E547EE502198CD55700CD68A54330EC996C4660431E374FFE7EBBDC4949C979E,35436,16779591.1633519,86400,
Localization,store-offers,0.0.144,AD0BADEDB36CF3F361EFEFC13F1ABF9C16E81DFC35B027A9D71F018CC392DD1B,PortalWars2/Saved/PersistentDownloadDir/Localization/store-offers-AD0BADEDB36CF3F361EFEFC13F1ABF9C16E81DFC35B027A9D71F018CC392DD1B,54363,16779591.2174432,86400,
Localization,challenge-templates,0.0.102,65EAFE190AF3A817DD315A301085ACD01D9CAF6AC4E065BB338152A8748EE5A4,PortalWars2/Saved/PersistentDownloadDir/Localization/challenge-templates-65EAFE190AF3A817DD315A301085ACD01D9CAF6AC4E065BB338152A8748EE5A4,146968,16779591.2973451,86400,
Localization,playlists,0.2.449,10855F4F8C701F8DD707D1FF8F8171007A6FA6A33366760F12EC8549B09AD9BF,PortalWars2/Saved/PersistentDownloadDir/Localization/playlists-10855F4F8C701F8DD707D1FF8F8171007A6FA6A33366760F12EC8549B09AD9BF,226555,16779591.5161574,86400,
